AA13	325is
AA23	325isA
AB03	325iXA
AB54	325 & 325e(s)
AB64	325A & 325e(s)A
AB93	325iX
AC74	318i/4
AC84	318iA/4
AD13	325i/4
AD23	325iA/4
AE03	325iXA/4
AE54	325/4 & 325e/4
AE64	325A/4 & 325eA/4
AE93	325iX/4
AF93	318is
AG33	320i(s)
AG43	320iA
AH31	323i Euro
AH41	323iA Euro
AJ93	318i/4
AK03	M3
AK74	318i
AK84	318iA
AV13	320i (Canada)
BA73	318iC
BB13	325iC
BB23	325iCA
BE53	318is
BE63	318isA
BF33	325is
BF43	325isA
BF93	M3
BJ53	325iC
BJ63	325iCA
CA53	318i
CA63	318iA
CB33	325i
CB43	325iA
CJ95	528i
CJ97	528iA
DB24	524tdA
DB74	533i
DB84	533iA
DC71	M535i Euro
DC74	535i(s)
DC81	M535iA Euro
DC84	535i(s)A
DC93	M5
DK73	528e
DK83	528eA
EB35	633CSi
EB36	633CSi
EB45	633CSiA
EB46	633CSiA
EB74	633CSi
EB84	633CSiA
EC74	635CSi
EC84	635CSiA & L6
EE14	M6
EE81	M635 Euro
EG13	850Ci & 850i
EG23	850CiA & 850iA
FF33	733i
FF34	733i
FF43	733iA
FF44	733iA
FF74	733i
FF84	733iA
FG24	L7
FH74	735i
FH84	735iA
GB33	735i
GB43	735iA
GC43	735iLA
GC83	750iLA
GD43	740iA
GD83	740iLA
HC13	525i
HC23	525iA
HD13	535i
HD23	535iA
HD53	525i
HD63	525iA
HD93	M5
HE13	530i
HE23	530iA
HJ63	525iTA
HK23	530iTA
